A.L.E: Arcade Learning Environment (version 0.11.0+dfae0bd)
[Powered by Stella]
device : cuda
Episode 331 | Steps 66991 | Return 1.0
Episode 332 | Steps 67161 | Return 1.0
Episode 333 | Steps 67407 | Return 3.0
Episode 334 | Steps 67642 | Return 3.0
Episode 335 | Steps 67997 | Return 5.0
Episode 336 | Steps 68272 | Return 3.0
Episode 337 | Steps 68484 | Return 2.0
Episode 338 | Steps 68615 | Return 0.0
Episode 339 | Steps 68799 | Return 2.0
Episode 340 | Steps 69007 | Return 2.0
Episode 341 | Steps 69201 | Return 2.0
Episode 342 | Steps 69410 | Return 2.0
Episode 343 | Steps 69644 | Return 3.0
Episode 344 | Steps 69891 | Return 4.0
Step 70000: epsilon = 0.748
Episode 345 | Steps 70176 | Return 4.0
Episode 346 | Steps 70379 | Return 2.0
Episode 347 | Steps 70691 | Return 5.0
Episode 348 | Steps 70874 | Return 2.0
Episode 349 | Steps 71154 | Return 4.0
Episode 350 | Steps 71469 | Return 5.0
Episode 351 | Steps 71692 | Return 3.0
Episode 352 | Steps 71876 | Return 2.0
Episode 353 | Steps 72067 | Return 2.0
Episode 354 | Steps 72278 | Return 3.0
Episode 355 | Steps 72482 | Return 2.0
Episode 356 | Steps 72859 | Return 6.0
Episode 357 | Steps 73146 | Return 4.0
Episode 358 | Steps 73364 | Return 2.0
Episode 359 | Steps 73684 | Return 5.0
Episode 360 | Steps 73885 | Return 2.0
Episode 361 | Steps 74146 | Return 4.0
Episode 362 | Steps 74327 | Return 2.0
Episode 363 | Steps 74529 | Return 2.0
Episode 364 | Steps 74730 | Return 2.0
Episode 365 | Steps 74996 | Return 4.0
Episode 366 | Steps 75393 | Return 6.0
Episode 367 | Steps 75713 | Return 4.0
Episode 368 | Steps 76198 | Return 9.0
Episode 369 | Steps 76353 | Return 1.0
Episode 370 | Steps 76555 | Return 2.0
Episode 371 | Steps 76813 | Return 4.0
Episode 372 | Steps 77341 | Return 10.0
Episode 373 | Steps 77568 | Return 3.0
Episode 374 | Steps 77841 | Return 4.0
Episode 375 | Steps 78054 | Return 2.0
Episode 376 | Steps 78242 | Return 2.0
Episode 377 | Steps 78637 | Return 8.0
Episode 378 | Steps 78874 | Return 3.0
Episode 379 | Steps 79078 | Return 2.0
Episode 380 | Steps 79336 | Return 4.0
Episode 381 | Steps 79561 | Return 2.0
Episode 382 | Steps 79714 | Return 1.0
Step 80000: epsilon = 0.712
Episode 383 | Steps 80038 | Return 5.0
Episode 384 | Steps 80349 | Return 5.0
Episode 385 | Steps 80537 | Return 2.0
Episode 386 | Steps 80860 | Return 6.0
Episode 387 | Steps 81016 | Return 1.0
Episode 388 | Steps 81494 | Return 9.0
Episode 389 | Steps 81632 | Return 0.0
Episode 390 | Steps 81955 | Return 6.0
Episode 391 | Steps 82243 | Return 4.0
Episode 392 | Steps 82649 | Return 7.0
Episode 393 | Steps 82903 | Return 3.0
Episode 394 | Steps 83169 | Return 4.0
Episode 395 | Steps 83416 | Return 3.0
Episode 396 | Steps 83665 | Return 3.0
Episode 397 | Steps 84054 | Return 8.0
Episode 398 | Steps 84209 | Return 1.0
Episode 399 | Steps 84464 | Return 3.0
Episode 400 | Steps 84724 | Return 4.0
Episode 401 | Steps 84922 | Return 2.0
Episode 402 | Steps 85174 | Return 3.0
Episode 403 | Steps 85466 | Return 5.0
Episode 404 | Steps 85620 | Return 1.0
Episode 405 | Steps 85804 | Return 2.0
Episode 406 | Steps 85957 | Return 1.0
Episode 407 | Steps 86225 | Return 4.0
Episode 408 | Steps 86558 | Return 5.0
Episode 409 | Steps 86753 | Return 2.0
Episode 410 | Steps 86987 | Return 3.0
Episode 411 | Steps 87267 | Return 4.0
Episode 412 | Steps 87767 | Return 8.0
Episode 413 | Steps 88127 | Return 6.0
Episode 414 | Steps 88454 | Return 5.0
Episode 415 | Steps 88749 | Return 4.0
Episode 416 | Steps 88997 | Return 3.0
Episode 417 | Steps 89297 | Return 4.0
Episode 418 | Steps 89516 | Return 2.0
Episode 419 | Steps 89760 | Return 4.0
Step 90000: epsilon = 0.676
Episode 420 | Steps 90136 | Return 6.0
Episode 421 | Steps 90582 | Return 9.0
Episode 422 | Steps 90767 | Return 2.0
Episode 423 | Steps 91048 | Return 4.0
Episode 424 | Steps 91306 | Return 4.0
Episode 425 | Steps 91541 | Return 3.0
Episode 426 | Steps 91923 | Return 7.0
Episode 427 | Steps 92272 | Return 6.0
Episode 428 | Steps 92456 | Return 2.0
Episode 429 | Steps 92642 | Return 2.0
Episode 430 | Steps 92843 | Return 2.0
Episode 431 | Steps 93135 | Return 5.0
Episode 432 | Steps 93458 | Return 4.0
Episode 433 | Steps 93645 | Return 2.0
Episode 434 | Steps 93834 | Return 2.0
Episode 435 | Steps 94096 | Return 4.0
Episode 436 | Steps 94356 | Return 4.0
Episode 437 | Steps 94512 | Return 1.0
Episode 438 | Steps 94881 | Return 6.0
Episode 439 | Steps 95069 | Return 2.0
Episode 440 | Steps 95222 | Return 1.0
Episode 441 | Steps 95493 | Return 4.0
Episode 442 | Steps 95737 | Return 4.0
Episode 443 | Steps 95992 | Return 3.0
Episode 444 | Steps 96346 | Return 6.0
Episode 445 | Steps 96643 | Return 4.0
Episode 446 | Steps 97024 | Return 7.0
Episode 447 | Steps 97230 | Return 2.0
Episode 448 | Steps 97506 | Return 4.0
Episode 449 | Steps 97747 | Return 3.0
Episode 450 | Steps 97891 | Return 0.0
Episode 451 | Steps 98125 | Return 3.0
Episode 452 | Steps 98464 | Return 6.0
Episode 453 | Steps 98598 | Return 0.0
Episode 454 | Steps 98994 | Return 7.0
Episode 455 | Steps 99255 | Return 4.0
Episode 456 | Steps 99519 | Return 4.0
Episode 457 | Steps 99675 | Return 1.0
Episode 458 | Steps 99962 | Return 5.0
Step 100000: epsilon = 0.640
Episode 459 | Steps 100319 | Return 6.0
Episode 460 | Steps 100569 | Return 7.0
Episode 461 | Steps 100761 | Return 2.0
Episode 462 | Steps 101136 | Return 6.0
Episode 463 | Steps 101390 | Return 3.0
Episode 464 | Steps 101570 | Return 2.0
Episode 465 | Steps 101754 | Return 2.0
Episode 466 | Steps 102083 | Return 4.0
Episode 467 | Steps 102379 | Return 5.0
Episode 468 | Steps 102679 | Return 4.0
Episode 469 | Steps 103076 | Return 7.0
Episode 470 | Steps 103385 | Return 5.0
Episode 471 | Steps 103613 | Return 3.0
Episode 472 | Steps 103764 | Return 1.0
Episode 473 | Steps 104009 | Return 4.0
Episode 474 | Steps 104277 | Return 4.0
Episode 475 | Steps 104555 | Return 4.0
Episode 476 | Steps 104814 | Return 3.0
Episode 477 | Steps 105115 | Return 4.0
Episode 478 | Steps 105296 | Return 2.0
Episode 479 | Steps 105513 | Return 3.0
Episode 480 | Steps 105699 | Return 2.0
Episode 481 | Steps 106036 | Return 5.0
Episode 482 | Steps 106188 | Return 1.0
Episode 483 | Steps 106672 | Return 12.0
Episode 484 | Steps 106932 | Return 4.0
Episode 485 | Steps 107147 | Return 3.0
Episode 486 | Steps 107384 | Return 3.0
Episode 487 | Steps 107585 | Return 2.0
Episode 488 | Steps 107814 | Return 3.0
Episode 489 | Steps 108044 | Return 3.0
Episode 490 | Steps 108275 | Return 3.0
Episode 491 | Steps 108500 | Return 3.0
Episode 492 | Steps 108684 | Return 2.0
Episode 493 | Steps 108902 | Return 3.0
Episode 494 | Steps 109480 | Return 11.0
Episode 495 | Steps 109692 | Return 3.0
Step 110000: epsilon = 0.604
Episode 496 | Steps 110038 | Return 5.0
Episode 497 | Steps 110304 | Return 3.0
Episode 498 | Steps 110692 | Return 7.0
Episode 499 | Steps 110926 | Return 3.0
Episode 500 | Steps 111169 | Return 4.0
Episode 501 | Steps 111525 | Return 6.0
Episode 502 | Steps 112053 | Return 13.0
Episode 503 | Steps 112255 | Return 2.0
Episode 504 | Steps 112601 | Return 5.0
Episode 505 | Steps 112849 | Return 4.0
Episode 506 | Steps 113164 | Return 4.0
Episode 507 | Steps 113501 | Return 6.0
Episode 508 | Steps 113736 | Return 3.0
Episode 509 | Steps 113963 | Return 3.0
Episode 510 | Steps 114356 | Return 6.0
Episode 511 | Steps 114547 | Return 2.0
Episode 512 | Steps 114868 | Return 5.0
Episode 513 | Steps 115197 | Return 5.0
Episode 514 | Steps 115391 | Return 2.0
Episode 515 | Steps 115707 | Return 5.0
Episode 516 | Steps 115918 | Return 3.0
Episode 517 | Steps 116271 | Return 5.0
Episode 518 | Steps 116562 | Return 5.0
Episode 519 | Steps 116942 | Return 7.0
Episode 520 | Steps 117092 | Return 1.0
Episode 521 | Steps 117298 | Return 2.0
Episode 522 | Steps 117735 | Return 8.0
Episode 523 | Steps 117936 | Return 2.0
Episode 524 | Steps 118301 | Return 7.0
Episode 525 | Steps 118531 | Return 3.0
Episode 526 | Steps 118809 | Return 4.0
Episode 527 | Steps 119058 | Return 3.0
Episode 528 | Steps 119286 | Return 3.0
Episode 529 | Steps 119662 | Return 6.0
Step 120000: epsilon = 0.568
Episode 530 | Steps 120039 | Return 10.0
Episode 531 | Steps 120357 | Return 5.0
Episode 532 | Steps 120620 | Return 4.0
Episode 533 | Steps 120801 | Return 2.0
Episode 534 | Steps 121095 | Return 5.0
Episode 535 | Steps 121329 | Return 3.0
Episode 536 | Steps 121640 | Return 5.0
Episode 537 | Steps 121937 | Return 4.0
Episode 538 | Steps 122278 | Return 7.0
Episode 539 | Steps 122526 | Return 3.0
Episode 540 | Steps 122834 | Return 4.0
Episode 541 | Steps 123026 | Return 2.0
Episode 542 | Steps 123296 | Return 7.0
Episode 543 | Steps 123620 | Return 5.0
Episode 544 | Steps 123893 | Return 4.0
Episode 545 | Steps 124250 | Return 6.0
Episode 546 | Steps 124511 | Return 4.0
Episode 547 | Steps 124896 | Return 7.0
Episode 548 | Steps 125408 | Return 9.0
Episode 549 | Steps 125737 | Return 6.0
Episode 550 | Steps 126069 | Return 6.0
Episode 551 | Steps 126283 | Return 3.0
Episode 552 | Steps 126563 | Return 4.0
Episode 553 | Steps 126874 | Return 5.0
Episode 554 | Steps 127185 | Return 4.0
Episode 555 | Steps 127573 | Return 7.0
Episode 556 | Steps 127781 | Return 2.0
Episode 557 | Steps 128074 | Return 5.0
Episode 558 | Steps 128518 | Return 12.0
Episode 559 | Steps 128800 | Return 4.0
Episode 560 | Steps 129060 | Return 4.0
Episode 561 | Steps 129279 | Return 2.0
Episode 562 | Steps 129619 | Return 6.0
Episode 563 | Steps 129873 | Return 3.0
Step 130000: epsilon = 0.532
Episode 564 | Steps 130171 | Return 5.0
Episode 565 | Steps 130402 | Return 3.0
Episode 566 | Steps 130647 | Return 4.0
Episode 567 | Steps 130797 | Return 1.0
Episode 568 | Steps 130948 | Return 1.0
Episode 569 | Steps 131298 | Return 8.0
Episode 570 | Steps 131593 | Return 4.0
Episode 571 | Steps 131924 | Return 5.0
Episode 572 | Steps 132220 | Return 5.0
Episode 573 | Steps 132385 | Return 1.0
Episode 574 | Steps 132681 | Return 8.0
Episode 575 | Steps 132884 | Return 2.0
Episode 576 | Steps 133207 | Return 5.0
Episode 577 | Steps 133547 | Return 6.0
Episode 578 | Steps 133749 | Return 2.0
Episode 579 | Steps 134011 | Return 4.0
Episode 580 | Steps 134267 | Return 4.0
Episode 581 | Steps 134496 | Return 3.0
Episode 582 | Steps 134754 | Return 4.0
Episode 583 | Steps 134983 | Return 3.0
Episode 584 | Steps 135268 | Return 5.0
Episode 585 | Steps 135694 | Return 8.0
Episode 586 | Steps 136066 | Return 6.0
Episode 587 | Steps 136301 | Return 3.0
Episode 588 | Steps 136565 | Return 4.0
Episode 589 | Steps 137012 | Return 8.0
Episode 590 | Steps 137258 | Return 3.0
Episode 591 | Steps 137550 | Return 5.0
Episode 592 | Steps 137980 | Return 9.0
Episode 593 | Steps 138392 | Return 8.0
Episode 594 | Steps 138740 | Return 5.0
Episode 595 | Steps 139059 | Return 5.0
Episode 596 | Steps 139293 | Return 3.0
Episode 597 | Steps 139567 | Return 4.0
Episode 598 | Steps 139719 | Return 1.0
Step 140000: epsilon = 0.496
Episode 599 | Steps 140126 | Return 7.0
Episode 600 | Steps 140398 | Return 4.0
Episode 601 | Steps 140870 | Return 8.0
Episode 602 | Steps 141200 | Return 6.0
Episode 603 | Steps 141413 | Return 3.0
Episode 604 | Steps 141704 | Return 8.0
Episode 605 | Steps 142015 | Return 5.0
Episode 606 | Steps 142408 | Return 7.0
Episode 607 | Steps 142604 | Return 2.0
Episode 608 | Steps 142866 | Return 3.0
Episode 609 | Steps 143172 | Return 6.0
Episode 610 | Steps 143506 | Return 6.0
Episode 611 | Steps 143872 | Return 10.0
Episode 612 | Steps 144258 | Return 11.0
Episode 613 | Steps 144670 | Return 11.0
Episode 614 | Steps 145107 | Return 8.0
Episode 615 | Steps 145375 | Return 4.0
Episode 616 | Steps 145622 | Return 7.0
Episode 617 | Steps 146072 | Return 8.0
